"35.68109280,139.68594329",新国立劇場初台駅入口
"35.68265277,139.68855650",東京オペラシティ南
"35.68003604,139.69389806",参宮橋
"35.68130075,139.69295039",代々木三
"35.68685002,139.68924661",十二社池の上
"35.68570967,139.69298324",文化服装学院前
"35.68977803,139.69511811",京王プラザホテル
"35.67390704,139.70573072",原宿外苑中
"35.67655469,139.71029700",千駄ヶ谷二
"35.67554140,139.71269518",霞ヶ丘団地
"35.67249936,139.71260148",神宮前二
"35.67493503,139.70692788",千駄ヶ谷小
"35.67827298,139.70566682",北参道
"35.69045516,139.69188562",都庁第一本庁舎
"35.68902740,139.69362006",新宿NSビル
"35.68889170,139.69221699",都庁第二本庁舎
"35.68801330,139.71334291",新宿一
"35.68999776,139.70670748",新宿三
"35.67216406,139.69126675",代々木神園町
"35.67033848,139.70290823",原宿駅
"35.67135169,139.70766386",神宮前一
"35.67631163,139.71272861",明治公園
"35.69205350,139.69112807",新宿住友ビル
"35.69120045,139.70396825",新宿追分
"35.70715214,139.69444037",新宿消防署
"35.71129880,139.68986817",上落合一
"35.71001282,139.68437380",落合
"35.69125819,139.70518688",新宿伊勢丹
"35.69264524,139.70506903",新宿五
"35.70117861,139.71735278",戸山町
"35.70125401,139.70347163",新大久保二
"35.70147577,139.70000874",新大久保駅
"35.69796762,139.69745556",南通り
"35.70187727,139.69526011",大久保駅
"35.67691467,139.72115601",権田原
"35.67889856,139.74006657",千代田保健所麹町庁舎
"35.67955776,139.73842822",平河町二
"35.68393991,139.73816383",麹町四
"35.68412275,139.74037795",麹町二
"35.68391394,139.74368189",半蔵門
"35.68180036,139.74462792",三宅坂
"35.68794235,139.72026885",四谷三
"35.68645439,139.73670809",番町
"35.68438219,139.72004953",左門町
"35.70232820,139.72664359",牛込弁天町
"35.70869823,139.73682280",石切橋
"35.69921769,139.72970103",山伏町
"35.70012635,139.72079722",若松町
"35.69823865,139.71574372",余丁町
"35.70943306,139.71622290",西早稲田
"35.69116318,139.71680682",市ヶ谷富久町
"35.69234515,139.72140633",曙橋
"35.69296870,139.74255706",九段三
"35.69767960,139.73417171",納戸町
"35.70331362,139.72166095",喜久井町
"35.70912630,139.72312800",早大正門
"35.70126257,139.71499942",国立国際医療センター
"35.69927167,139.71845696",河田町
"35.69938582,139.72628413",牛込柳町
"35.70384438,139.74426410",飯田橋
"35.70663662,139.71867362",馬場下町
"35.70971554,139.72709939",鶴巻町
"35.71012712,139.72541592",関口一
"35.71006987,139.73173115",江戸川橋
"35.71055153,139.74639226",伝通院
"35.70966283,139.69392094",小滝橋
"35.71099108,139.68735546",落合
"35.67795748,139.74148573",永田町
"35.67795190,139.74557917",国会議事堂前
"35.68389145,139.71596704",内藤町大京町
"35.68752177,139.71599593",四谷四
"35.70148742,139.68527862",東中野一
"35.69113368,139.68752598",十二社池の下
"35.68995782,139.68478836",西新宿五
"35.68652184,139.68459812",関東国際高
"35.68320580,139.68433368",幡ヶ谷不動尊
"35.67969657,139.68885386",初台坂上
"35.67670140,139.68783004",南初台
"35.67196435,139.68781875",八幡下
"35.70168435,139.69025321",北新宿
"35.69453615,139.69240035",東京医大病院
"35.68836425,139.69008833",中央公園
"35.68431594,139.69083994",西参道
"35.68650616,139.69003571",パークハイアット東京前
"35.68194971,139.68870420",東京オペラシティ南
"35.71130254,139.69639310",高田馬場四
"35.69017142,139.69646909",新宿郵便局
"35.68784273,139.69702269",角筈二
"35.67594293,139.69264900",代々木五
"35.69237859,139.70110717",新宿駅東口
"35.69365360,139.70107623",歌舞伎町
"35.68930959,139.70385270",新宿四
"35.70876380,139.70598558",新宿スポーツセンター入口
"35.70865779,139.72111916",早大正門
"35.69771689,139.71294293",抜弁天
"35.69118470,139.71357537",花園町
"35.68865501,139.71016252",新宿二
"35.68116486,139.71385390",四谷第六小入口
"35.70785090,139.74360111",大曲
"35.69368261,139.74459110",九段上
"35.69205651,139.73940065",一口坂
"35.67818970,139.71216938",千駄ヶ谷八幡
"35.70458674,139.72697323",牛込保健センター
"35.68435752,139.73408404",麹町五
"35.70818606,139.74007418",東五軒町
"35.70426317,139.70867225",新宿コズミックセンター
"35.70782758,139.70907835",学習院女子大学
"35.69424657,139.73771322",市谷田町
"35.69622615,139.72524983",薬王寺町
"35.69456428,139.72469087",市谷仲之町交差点
"35.69169475,139.69926274",新宿西口
"35.69145341,139.71108488",厚生年金会館
"35.67981600,139.71959709",信濃町駅南口
"35.68531051,139.68786019",西新宿小
"35.68043466,139.68675103",初台駅
"35.67034388,139.72367649",青山福祉会館入口
"35.67475705,139.72245045",北青山一丁目アパート
"35.69601184,139.68767302",成子坂下
"35.68359102,139.68711485",東京オペラシティ
