美琴たちがモノレールを利用するシーン//立川南駅,とある科学の超電磁砲,東京都立川市柴崎町3,35.694211,139.412457
大檜山ビル/全話共通/小檜山ビル,シュタインズ・ゲート（STEINS;GATE）,東京都千代田区外神田3丁目6−11,35.702661,139.769988
上野駅/16話/上野駅,シュタインズ・ゲート（STEINS;GATE）,東京都台東区上野7丁目,35.712946,139.778135
等身大ガンダムがある/ダイバーシティ「ガンダムフロント東京」,機動戦士ガンダム,東京都江東区青海1−1−10,35.625417,139.775954
立川駅前北口　シネマシティビル前,とある科学の超電磁砲S,東京都立川市柴崎町3丁目,35.694211,139.412457
多摩センター　中組公園・多摩南部地域病院交差点付近,とある科学の超電磁砲S,東京都立川市,35.714014,139.407843
しろくまカフェ/全話共通/しろくまカフェ,しろくまカフェ,東京都新宿区高田馬場2−1−2TOHMA高田馬場1F,35.713049,139.700232
代々木八幡宮/1話/代々木八幡宮,秒速5センチメートル,東京都渋谷区代々木5−1−1,35.672084,139.688535
東京ミッドタウン意心帰/第１話で八九寺真宵が座っていたオブジェのモデル,偽物語,東京都港区赤坂9-7-1,35.666203,139.731259
池袋/全話共通/池袋西武前,アイドルマスターシンデレラガールズ,東京都豊島区南池袋1−27−7,35.729667,139.712864
雨の中の下校道/4話/南平丘陵公園,一週間フレンズ。,東京都日野市南平８丁目８－３,35.65366,139.397485
日野の悪夢の舞台/全話共通/市立中央図書館,図書館戦争,東京都日野市豊田2-49,35.655981,139.382309
上板橋駅周辺/14話、18話,とらドラ！,東京都板橋区上板橋2-36-7,35.763404,139.676519
上野公園,三ツ星カラーズ,東京都台東区上野公園6,,
六条千景が平和島静雄に喧嘩を持ちかけ殴られた場所/豊島区役所裏,デュラララ！,東京都豊島区東池袋1-31,35.732031,139.716519
立川駅前北口　ファーレ立川交差点上,とある科学の超電磁砲S,東京都立川市柴崎町3丁目,35.694211,139.412457
ソフマップ 秋葉原本館,ソフマップ,東京都千代田区外神田4-1-1,35.69968,139.771722
三鷹の森ジブリ美術館,となりのトトロ,東京都三鷹市三鷹市下連雀１丁目１−８３,,
品川駅連絡通路/8話/品川駅連絡通路,夏色キセキ,東京都港区港南2-1-78,35.633329,139.740001
UDX/4話/JR秋葉原駅,ハヤテのごとく！,東京都千代田区外神田4-14-1,35.700525,139.772508
2話　かをりと公生が偶然会うところ/南田中団地前　石神井川お花見ロード付近,四月は君の嘘,東京都練馬区石神井町1丁目1-38,35.740498,139.608547
郁と小牧が身を隠した日野操車場/全話共通/東日本車両鉄道豊田車両センター,図書館戦争,東京都日野市旭が丘1-28,35.652789,139.369946
六条千景が平和島静雄に喧嘩を持ちかけ殴られた場所/豊島区役所裏,デュラララ！,東京都豊島区東池袋1-31,35.732031,139.716519
四ノ宮 那月が食べるパフェ/6話/パフェテラスミルキーウェイ,うたのプリンスさまっ,東京都豊島区東池袋1-12-8富士喜ビル２階,35.729343,139.714314
「荷物保管計画」と題してエヴァ風のサブタイトルや名言が刻まれたコインロッカー/アイランド秋葉原店,新世紀エヴァンゲリオン,東京都千代田区外神田4‐4‐3ドン・キホーテビル１F・B１F,35.701336,139.771819
三鷹の森ジブリ美術館,となりのトトロ,東京都三鷹市三鷹市下連雀１丁目１−８３,,
千石撫子と忍野扇が話をしていた児童公園/15話/キャットストリート児童公園,化物語,東京都渋谷区神宮前5-29-1,35.66456,139.70334
東京都千代田区秋葉原のカツサンド/17話/万世 秋葉原本店　,孤独のグルメ,東京都千代田区神田須田町2丁目21,35.696575,139.771175
品川駅連絡通路/8話/品川駅連絡通路,夏色キセキ,東京都港区港南2-1-78,35.633329,139.740001
UDX/4話/JR秋葉原駅,ハヤテのごとく！,東京都千代田区外神田4-14-1,35.700525,139.772508
上野公園,三ツ星カラーズ,東京都台東区上野公園6,,
郁と小牧が身を隠した日野操車場/全話共通/東日本車両鉄道豊田車両センター,図書館戦争,東京都日野市旭が丘1-28,35.652789,139.369946
六条千景が平和島静雄に喧嘩を持ちかけ殴られた場所/豊島区役所裏,デュラララ！,東京都豊島区東池袋1-31,35.732031,139.716519
四ノ宮 那月が食べるパフェ/6話/パフェテラスミルキーウェイ,うたのプリンスさまっ,東京都豊島区東池袋1-12-8富士喜ビル２階,35.729343,139.714314
「荷物保管計画」と題してエヴァ風のサブタイトルや名言が刻まれたコインロッカー/アイランド秋葉原店,新世紀エヴァンゲリオン,東京都千代田区外神田4‐4‐3ドン・キホーテビル１F・B１F,35.701336,139.771819
三鷹の森ジブリ美術館,となりのトトロ,東京都三鷹市三鷹市下連雀１丁目１−８３,,
